ORDEN PLANEADO ,EXCLUIR CUENTA UNICA,EPICA,SDATOOL,FEATURE,DELIVERABLE,LINK JIRA,NOMBRE PROYECTO,DOMINIO,PROGRAMA,SPRINT (VP),TIER,PLAN(Portafolio),TAG (MP),TECNOLOGÍA,COMPLEJIDAD,GREMIO (DIRECCIÓN SYSTEM),DIRECCIÓN SYSTEM (4),PORTAFOLIO PLAN ASCENSO,PLAN MERCURIO,PLAN AREA REVIEW,COMITE (VP),DIRECCIÓN DE INGENIERIA,TIPOS DE MANTENIMIENTO,CATEGORIA DEL PROYECTO,TIPO (EMC-OTROS),EMC COMPROMETIDO,FECHA REPLANIFICACIÓN,FECHA REPLANIFICACIÓN 2,FECHA REPLANIFICACIÓN 3,MARCA REPLAN,MOTIVO REPLANIFICACIÓN,TIPO DE METODOLOGÍA,PROGRAM INCREMENT,TYPE OF DELIVERY,SERVICE OWNER,LIDER TECNICO,PROGRAM MANAGER,PO-OWNER,TECH MANAGER,ARQUITECTURA,CORPORATE SECURITY,TDM,TALENTO BBVA,TALENTO EXTERNO,RATIO STAFFING,"PRESUPUESTO
(PRESUPUESTADO) (Capex)","PRESUPUESTO
 (COMPROMETIDO)
(Capex)",PRESUPUESTO REALIZADO (Capex),PRESUPUESTO DISPONIBLE,PAYBACK,VALOR DE RETORNO,COMENTARIO SEGUIMIENTO,CREACION COMENTARIO,ACTUALIZACIÓN COMENTARIO,AVANCE REAL,AVANCE TEORICO,DESVIACIÓN,IMAGEN ESTADO,ESTADO,INDICADOR
646,PLANEADO,E2E-107269,37085,COLWSSUPPL-10,,https://globaldevtools.bbva.com/jira/browse/COLWSSUPPL-10,TIGO - BBVA Fondeador Operaciones Confirming-Release 2 - Alta Másiva de Proveedores + Condición Financiera General Pagador,Client Solutions,,Transversal,Tier 3,2.Commercial_Banking,,Ether,Baja,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,Cliente - Definición,Unknown,,Enabler Delivery,carlosalberto.barreto,milagros.lastra,,clara.mora,,,,,,,,,,,,,,"Release 2 Alta Masiva de Proveedores + Condición financiera general Pagador
  
Avance Teórico:0,0%, Avance Real: 0,0%, Desviación: 0,0%.
Fase del proyecto no iniciada, por falta de viabilidad presupuestal.
Historias de usuario: To Do: 27/27
Casos de prueba ejecutados:     0 
Casos de prueba pendientes:   93 
Alerta 
-  Pendiente inicio Construcción R2
-  Pendiente Viabilidad del Business Case de negocio y check financiero Fase 2, sobre plan de trabajo final socializado el 30/11, por tanto se detienen desarrollos de la Fase 2, y la fecha de esta etapa será replanificada cuando se tenga aval financiero.
 
 LT. Milagros Lastra Jiménez.",22/04/2022,22/04/2022,,,,⬤,Analysing,1. A Tiempo
648,PLANEADO,E2E-104098,36941,COLWSSUPPL-6,,https://globaldevtools.bbva.com/jira/browse/COLWSSUPPL-6,"Formato 341 operaciones activas de crédito - Factoring, Confirming y LT)",Global Risk Management,6.Normativos,,Tier 2,8.Normativos,1.Normativo,,,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,2021-Q4,Customer Delivery,alcibiades.rodriguez,milagros.lastra,,lady.cervera,,,,,,,,,,,,,,"17/02/2022
Proyecto Finalizado.
Etapa: Post-Implantación
Avance Teórico: 100%
Avance Real: 100%
Desviación: 0%
Casos de prueba ejecutados:  7
Casos de prueba pendientes: 0

	Instalado en producción 26/11/2021
	Los 2 archivos trimestales solicitados fueron reprocesados y entregados al equipo de Riegos de Ingeniería para su reproceso conjunto.  El cual ya envió al área de Riesgos, a Elías Noguera, para su revisión y de acuerdo a confirmación con Elias ya fue enviado a la SFC 1 de ellos.
L.T.  Milagros Lastra Jimenéz.

",24/03/2022,28/03/2022,,,,⬤,Deployed,1. A Tiempo
650,PLANEADO,E2E-47947,32583,COLWSSUPPL-7,,https://globaldevtools.bbva.com/jira/browse/COLWSSUPPL-7,"Sarlaft Factoring, Confirming y Línea Triangular",Regulation & Internal Control,2.Pymes/Empresas,,Tier 2,,,,,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,24/12/2021,,,▶,Cambio de prioridad Usuario,Unknown,2022-Q1,Customer Delivery,edgar.corzo,milagros.lastra,,diegofernando.uribe,,,,,,,,,,,,,,"17/02/2022:
Tema instalado en producción el 14/01/2022,  piloto productivo realizado el 15 y 16 de enero, con VB de Operaciones, Financiera, Seguridad y Negocio (Client Solution).
Nos econtramos en soporte post-implantación.
L.T.  Milagros Lastra Jiménez.",24/03/2022,29/03/2022,,,,⬤,Deployed,1. A Tiempo
652,PLANEADO,E2E-98187,36547,COLWSSUPPL-8,,https://globaldevtools.bbva.com/jira/browse/COLWSSUPPL-8,Ascenso - Plan Mayor - Release 3 - Empresas Auditoras,Client Solutions,5.Productos_CORE,Transversal,Tier 3,,,Ether,Baja,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,13/04/2022,,,▶,Construcción,Unknown,2022-Q2,Enabler Delivery,carlosalberto.barreto,milagros.lastra,,clara.mora,,,,,,,,,,,,,,"Release 3 Empresas Auditoras
Avance Teórico: 94,12%, Avance Real: 76,47%, Desviación: -17,65%
Etapa: Certificación (Modelo sin RFP)
HU: WIP 5/5
Casos de prueba ejecutados:  25
Casos de prueba pendientes:  25  
Avances:

- Casos de pruebas finalizados, pendienes pruebas de no afectación.


	El día de hoy se envió al área de Operaciones evidencias de las pruebas para su VB. 
-Se tiene 2 puntos de seguimiento al día para destrabar impedimentos y ver avances.
**



Alerta:
- Pendiente el cierre del control solicitado por comité de CARO relacionado con el centro de pruebas.
- La fecha de instalación en producción se replanifica debido a los issues presentados, y será informada el próximo viernes 29 abril, su paso a producción esta ligado por concurrencia con R4 por lo que se deben instalar juntos.
**

LT.  Milagros Lastra Jiménez.",25/04/2022,25/04/2022,,,,⬤,Test,1. A Tiempo
654,PLANEADO,E2E-117662,37125,COLWSSUPPL-9,,https://globaldevtools.bbva.com/jira/browse/COLWSSUPPL-9,Indicador IBR Factoring,Client Solutions,5.Productos_CORE,Transversal,Tier 1,,,,,Enterprise System,,,,,,1.Systems_Engineering,2.Proyecto,,3.Otros,,,,,,,Unknown,,Enabler Delivery,carlosalberto.barreto,milagros.lastra,,lilianavictoria.rivera,,,,,,,,,,,,,," 
Indicador IBR Factoring
Etapa: Análisis 
Avances: 
- Pendiente los KPIs de negocio que se impactan con la movilización de este proyecto.
- Con todos los insumos entregados por parte de System, está pendiente la formalización del inicio del proyecto contando con el aval de la mesa de trabajo (Negocio + Ingeniería), desde Ingeniería se ha acompañado los diferentes análisis técnicos, sin embargo por los altos costos del proyecto se le dará una nueva revisión con el equipo de trabajo para revisar oportunidades de mejora en costos y tiempos.
 LT. Milagros Lastra Jiménez.  ",22/04/2022,22/04/2022,,,,⬤,Analysing,1. A Tiempo
656,PLANEADO,E2E-75209,35744,COLWSSWTC-16,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-16,Implementación de estructura híbrida entre SAE/Servicing,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,alcibiades.rodriguez,javier.palencia,,javier.palencia,,,,,,,,,,,,,,Fecha:11/04/2022 Observación: Finalizado e implantado,12/04/2022,29/04/2022,,,,⬤,Accepted,1. A Tiempo
658,PLANEADO,E2E-75209,35744,COLWSSWTC-17,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-17,Traspaso operativo NMF Fase III,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,alcibiades.rodriguez,javier.palencia,,javier.palencia,,,,,,,,,,,,,,"Fecha: 11/04/2022 Observación: Finalizado, en ajustes finales de socialización programada para el 25 de abril.",12/04/2022,29/04/2022,,,,⬤,Accepted,1. A Tiempo
660,PLANEADO,E2E-94926,36352,COLWSSWTC-23,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-23,Videoclips -TUBO,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q1,,,,,,Unknown,2022-Q1,Customer Delivery,john.ardila,rubendario.nunez,,ladyjohana.nino,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
662,PLANEADO,E2E-94926,36352,COLWSSWTC-24,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-24, Videoclips - herramienta Ticketing,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q1,,,,,,Unknown,2022-Q1,Customer Delivery,john.ardila,rubendario.nunez,,ladyjohana.nino,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
664,PLANEADO,E2E-94926,36352,COLWSSWTC-25,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-25,Videoclip CAP Bonita,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q1,,,,,,Unknown,2022-Q1,Customer Delivery,john.ardila,rubendario.nunez,,ladyjohana.nino,,,,,,,,,,,,,,Sin Comentario,,29/04/2022,,,,⬤,New,Estado New
666,PLANEADO,E2E-33978,30527,COLWSSWTC-31,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-31,Implantación Herramienta Workday,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,Sin Comentario,,13/04/2022,,,,⬤,In Progress,1. A Tiempo
668,PLANEADO,E2E-75439,35775,COLWSSWTC-32,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-32, Implantación funcionalidades impactos aplicaciones terceras,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,13/04/2022:  Se avanza en las pruebas del módulo de Incentivación variable de GRANNET,13/04/2022,22/04/2022,,,,⬤,In Progress,1. A Tiempo
670,PLANEADO,E2E-33978,30527,COLWSSWTC-35,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-35,"Línea de Data: Prototipo Mock -Data Cleaning, Carga y Validación",Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,Sin Comentario,,26/04/2022,,,,⬤,Accepted,1. A Tiempo
672,PLANEADO,E2E-33978,30527,COLWSSWTC-36,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-36,Línea Testing: FIT 2 - Datos PXW2 - Foto 07 Enero (BBVA7),Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,13/04/2022:  Se avanza en las pruebas del plan de pruebas del 2do Paralelo Técnico de Nómina.,13/04/2022,13/04/2022,,,,⬤,In Progress,1. A Tiempo
674,PLANEADO,E2E-33978,30527,COLWSSWTC-37,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-37,"Línea de Data: Prototipo Gold - Data Cleaning, Carga y Validación",Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,Sin Comentario,,13/04/2022,,,,⬤,In Progress,1. A Tiempo
676,PLANEADO,E2E-33978,30527,COLWSSWTC-38,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-38,"Línea Gestión del Cambio: 100% Formación T&C afectado y no afectado, Managers y Empleados y despliegue Plan de Comunicación",Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,carlos.combita,carlos.combita,,lauracarolina.canizares,,,,,,,,,,,,,,Sin Comentario,,13/04/2022,,,,⬤,In Progress,1. A Tiempo
678,PLANEADO,E2E-30891,29464,COLWSSWTC-42,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-42,Compra y asignación de sillas,Talent & Culture,,,Tier 2,,,,,Retail System,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,juan.sandoval,elkinmauricio.lopez,,elkinmauricio.lopez,,,,,,,,,,,,,,Sin Comentario,,12/04/2022,,,,⬤,In Progress,1. A Tiempo
680,PLANEADO,E2E-30891,29464,COLWSSWTC-43,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-43,Valoración de Traslados de funcionarios a Dirección General,Talent & Culture,,,Tier 2,,,,,Retail System,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,juan.sandoval,elkinmauricio.lopez,,elkinmauricio.lopez,,,,,,,,,,,,,,Sin Comentario,,12/04/2022,,,,⬤,In Progress,1. A Tiempo
682,PLANEADO,E2E-30891,29464,COLWSSWTC-44,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-44,Operativización del modelo de ocupación de edificios,Talent & Culture,,,Tier 2,,,,,Retail System,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,juan.sandoval,elkinmauricio.lopez,,elkinmauricio.lopez,,,,,,,,,,,,,,Sin Comentario,,12/04/2022,,,,⬤,In Progress,1. A Tiempo
684,PLANEADO,E2E-30891,29464,COLWSSWTC-45,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-45,Gestión de Traslados a Granja,Talent & Culture,,,Tier 2,,,,,Retail System,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,juan.sandoval,elkinmauricio.lopez,,elkinmauricio.lopez,,,,,,,,,,,,,,Sin Comentario,,12/04/2022,,,,⬤,In Progress,1. A Tiempo
686,PLANEADO,E2E-75209,35744,COLWSSWTC-46,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-46,Finalización de procesos Traspasos Fase IV,Talent & Culture,,,Tier 2,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,alcibiades.rodriguez,javier.palencia,,javier.palencia,,,,,,,,,,,,,,"Fecha: 11/04/2022 Observación: Avance con el proceso del traspaso operativo correspondiente a 6 taxonomías( modelo operativo, catalogo, marco de control, modelado y formación)",12/04/2022,12/04/2022,,,,⬤,Ready,1. A Tiempo
688,PLANEADO,E2E-75209,35744,COLWSSWTC-47,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-47,Divulgación Gestión del Cambio,Talent & Culture,,,Tier 2,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,alcibiades.rodriguez,Unassigned,,javier.palencia,,,,,,,,,,,,,,Fecha: 11/04/2022 Observación: Avance global en al construcción de material formativo de procesos a cargo de los responsables del mismo.,12/04/2022,12/04/2022,,,,⬤,New,Estado New
690,PLANEADO,E2E-19313,28728,COLWSSWTC-48,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-48,Generación carpetas digitales de los Expatriados e impatriados.,Talent & Culture,,,Tier 2,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,,javier.palencia,,javier.palencia,,,,,,,,,,,,,,Fecha: 11/04/2022 Observación: Reunion con proveedor e ingenieria para determinar los requerimientos de seguridad para asegurar confidencialidad en los documentos cargados.,12/04/2022,12/04/2022,,,,⬤,New,Estado New
692,PLANEADO,E2E-19313,28728,COLWSSWTC-49,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-49,Socialización carpetas digitales de los Expatriados e impatriados.,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,,javier.palencia,,javier.palencia,,,,,,,,,,,,,,Sin Comentario,,11/04/2022,,,,⬤,New,Estado New
694,PLANEADO,E2E-19313,28728,COLWSSWTC-50,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-50,Masificación del uso del aplicativo Genesis - CECV entre los intervinientes del proceso ,Talent & Culture,,,Tier 2,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,,javier.palencia,,javier.palencia,,,,,,,,,,,,,,"Fecha: 11/04/2022 Observación: Se realiza instalación que soluciona las incidencias presentadas con los candidatos en cuanto al loggeo y correos electrónicos. se programa Reunión con TAP, (12/04/2022) para iniciar masificación de registros en plataforma.",12/04/2022,12/04/2022,,,,⬤,New,Estado New
696,PLANEADO,E2E-19313,28728,COLWSSWTC-51,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-51,Análisis de impactos del despliegue en Genesis,Talent & Culture,,,Tier 2,,,,,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Functional,,javier.palencia,,javier.palencia,,,,,,,,,,,,,,Fecha: 11/04/2022 Observación: Documento preliminar para ajustar creado en 1Q-2022,12/04/2022,12/04/2022,,,,⬤,New,Estado New
698,PLANEADO,E2E-100970,36836,COLWSSWTC-58,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-58,FASE 3 TRES CONSULTAS MASIVAS ,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,alcibiades.rodriguez,fabio.camelo,,ladyjohana.nino,,,,,,,,,,,,,,Sin Comentario,,11/04/2022,,,,⬤,New,Estado New
700,PLANEADO,E2E-100970,36836,COLWSSWTC-59,,https://globaldevtools.bbva.com/jira/browse/COLWSSWTC-59,FASE 4 CUATRO CONSULTAS MASIVAS ,Talent & Culture,,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,alcibiades.rodriguez,fabio.camelo,,ladyjohana.nino,,,,,,,,,,,,,,Sin Comentario,,11/04/2022,,,,⬤,New,Estado New
702,PLANEADO,E2E-128840,37776,COLWSTRAIN-471,,https://globaldevtools.bbva.com/jira/browse/COLWSTRAIN-471,(PRUEBA)FUNCIONALIDAD DE TRANSFERENCIAS,Engineering,,,Tier 2,,1.Normativo,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,julioa.santamaria,Mario Loaiza,,Mario Loaiza,,,,,,,,,,,,,,"The issue has been transitioned to DELETED status.
After five days in this status, the issue and its sub-tasks (if any) will be permanently deleted. They will not be recoverable.
Relevant users (Mario Loaiza, stiven.espinosa.contractor) have been notified of this action.",29/04/2022,29/04/2022,,,,⬤,Deleted,1. A Tiempo
704,PLANEADO,E2E-128840,37776,COLWSTRAIN-474,,https://globaldevtools.bbva.com/jira/browse/COLWSTRAIN-474,(PRUEBA) fUNCIONALIDAD DE CUENTAS,Engineering,1.Ventas_Digitales,,Tier 2,,,,,,,,,,,,,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,julioa.santamaria,Mario Loaiza,,Mario Loaiza,,,,,,,,,,,,,,"The issue has been transitioned to DELETED status.
After five days in this status, the issue and its sub-tasks (if any) will be permanently deleted. They will not be recoverable.
Relevant users (Mario Loaiza, stiven.espinosa.contractor) have been notified of this action.",29/04/2022,29/04/2022,,,,⬤,Deleted,1. A Tiempo
706,PLANEADO,E2E-16767,27227,CRS-1001,,https://globaldevtools.bbva.com/jira/browse/CRS-1001,"Ingesta de Datos, generación tablon filtro interno",Global Risk Management,7.Otros,,Tier 3,4.Cross_Sell,,Sin Dato,Sin dato,,,,,,Riesgos,10.HoD,2.Proyecto,7.Otros,1.EMC,2022-Q2,1/06/2021,,,▶,Proveedor,Agile,2022-Q2,Customer Delivery,edwin.vargas,andrescamilo.murcia,,sergioalexander.parra,,,,,,,,,,,,,,"22/04/2022

	A espera de Vobo de Mexico para paso de 6/6 artefactos para automatización. 
	En proceso de nivelación en entorno work para procesamientos. 
	Ser realiza prueba DataX, no se logra probar batería de desarrollos PwC (Inconsistencia técnica). Se transfieren con éxito archivo envío y recepción, a excepción de archivo de errores (problema en la paramatría holding).
	Se desplegó con éxito esquema de módulo 2.
	Se inicia con desarrollo de ingesta l1t 

",22/04/2022,29/04/2022,,,,⬤,In Progress,1. A Tiempo
708,PLANEADO,E2E-74770,35697,CRS-1105,,https://globaldevtools.bbva.com/jira/browse/CRS-1105,GRM - Garantias Hipotecarias - Ingesta Datos,Global Risk Management,7.Otros,,Tier 3,,,Sin Dato,Sin dato,Banking Applications System,,,,,Riesgos,1.Systems_Engineering,2.Proyecto,7.Otros,3.Otros,,,,,,,Unknown,2022-Q3,Customer Delivery,maritza.guerrero,maritza.guerrero,,omar.monroyp,,,,,,,,,,,,,,"28/04/2022-  Construcción, se tiene culminado desarrollos del Online y Batch, se estan cerrando pruebas unitarias para comenzar pruebas integrales la proxima semana,  se incorporo el tester y esta documentándose del tema e iniciar con la elaboración de los casos de prueba,  se entrego el set de pruebas el pasado 27 de abril por el PO, se tiene alcance en desarrollos de dos temas que no fueron contemplados, Ajustar procesos de Datio y contemplar un programa online que es el de la asociación de la garantía al crédito para que controle que si hay  campos vacíos en la garantía no deje asociar la garantía , se esta validando el impacto ",29/04/2022,29/04/2022,,,,⬤,Ready,1. A Tiempo
710,PLANEADO,E2E-30727,29029,CRS-1217,,https://globaldevtools.bbva.com/jira/browse/CRS-1217,Transmisión Parametrías a Holding y Recepción Tablones de salida (pasarela Holding),Global Risk Management,6.Normativos,,Tier 3,8.Normativos,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Riesgos,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q3,20/05/2022,,,▶,Aprobaciones,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,mariaalejandra.ramirez.jimene,,,,,,,,DESLIZADOS,SYSTEMS, $30.175.354, $0,,,"26/04/2022

Se Re planifica las fechas de certificación acorde a las fechas del proyecto de movimientos por la dependencia. Por parte de Holding se informa que no se podrá automatizar salidas hasta que no se realice la primera entrega de Movimientos.",26/04/2022,28/04/2022,,,,⬤,In Progress,2. Atrasado
712,PLANEADO,E2E-18667,28145,CRS-1395,,https://globaldevtools.bbva.com/jira/browse/CRS-1395,Actualización y Aprovisionamiento PCO (Fase II),Global Risk Management,,,Tier 3,2.Commercial_Banking,,Sin Dato,Alta,,,,,,,10.HoD,2.Proyecto,,1.EMC,2022-Q1,,,,,,Waterfall,2022-Q1,Customer Delivery,daniel.ferreira,daniel.ferreira,,mariaalejandra.ramirez.jimene,,,,,,,,,,,,,,"Se estima su Paso a producción el 04 de Marzo 2022

01/03/2022 - Se instalan incidentes el 25/02/2022 reportados de la Fase I y se obtiene VoBo del usuario.

	Se instalan componentes de Host, componentes de ControlM y el software de ingesta de 21 Tablas.
	El procesamiento se encuentra certificado. Se liberará en producción el 4 de Marzo.



15/02/2021 - Karina Mesa Perez, indica:

	22/01/2022 Quedan productivas 21/21 tablas fuente . (Fase II)
	En validaciones funcionales sobre los resultados generados en Datio (Fase I).
	Se recibe reporte de inconsistencias en la data generada. Se encuentran en atención.
30/11/2021
-Despliegue de esquemas y gobierno técnico finalizado 21/21 (Fase II).
-Ingesta local 16/21 (Fase II).
-Construcción de la automatización 8/21 (Fase II).
-En validaciones funcionales sobre los resultados generados en Datio (Fase I). 
-Se recibe reporte de incosistencias en la data generada. Se encuentran en atención. 
-Se inicia la construcción del procesamiento (Fase II).



12/11/2021
-Prediccionarios de 21/21 tablas completados.
-Despliegue de esquemas y gobierno técnico finalizado 17/21.
-Documentación Técnica (Diagramas de Procesamiento,Diagramas de ETLs y Especificación Técnica de Campos) finalizada. 
-En Etapa de construcción de ingestas.
-En validaciones funcionales de la Fase I sobre los resultados generados en Datio.x|",24/03/2022,29/03/2022,,,,⬤,Deployed,1. A Tiempo
714,PLANEADO,E2E-50578,33018,CRS-1397,,https://globaldevtools.bbva.com/jira/browse/CRS-1397,Ajuste Cancelaciones Anticipadas fase II - Ventas de Cartera,Global Risk Management,,,Tier 1,,,,,,,,,,,,,,1.EMC,2022-Q1,,,,,,Unknown,2022-Q1,Customer Delivery,carlos.barreto,katherine.pardo,,elmer.fajardo,,,,,,,,,,,,,,Sin Comentario,,28/04/2022,,,,⬤,New,Estado New
716,PLANEADO,E2E-30727,29029,CRS-1398,,https://globaldevtools.bbva.com/jira/browse/CRS-1398,Alcance_profundidad_histórica_Marcaje,Global Risk Management,6.Normativos,,Tier 2,8.Normativos,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Riesgos,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,mariaalejandra.ramirez.jimene,,,,,,,,2Q,SYSTEMS, $83.161.739, $0,,,"26/04/2022

-Profundidad Histórica a corte de Noviembre 2021  de acuerdo  al plan de trabajo

-En desarrollos y productivización actualización versión Diciembre 2021

-Ticket de validación procesamiento Datio en revisión.",26/04/2022,28/04/2022,,,,⬤,Test,1. A Tiempo
718,PLANEADO,E2E-128572,37736,CRS-1400,,https://globaldevtools.bbva.com/jira/browse/CRS-1400,Ajuste fecha de corte obligaciones y tdc en HDC,Global Risk Management,7.Otros,,Tier 3,,5.Otros,Ether,Alta,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,,1.Systems_Engineering,2.Proyecto,7.Otros,1.EMC,2022-Q2,,,,,,Unknown,2022-Q2,Customer Delivery,yesid.forero,jairo.tamara,,Maritza Sarmiento,,,,,,,,,,,,,,"8/4/2022: tema instalado en Producción el 6/Abr/2022, En seguimiento post.produccion",8/04/2022,29/04/2022,,,,⬤,Deployed,1. A Tiempo
720,PLANEADO,E2E-30727,29029,CRS-1410,,https://globaldevtools.bbva.com/jira/browse/CRS-1410,Alcance_Movimientos,Global Risk Management,6.Normativos,,Tier 3,8.Normativos,,Sin Dato,Sin dato,Subsidiary-Corp.Functions-Riesgos-CIB,,,,,Riesgos,1.Systems_Engineering,2.Proyecto,,1.EMC,2022-Q3,,,,,,Unknown,2022-Q3,Enabler Delivery,alcibiades.rodriguez,alcibiades.rodriguez,,mariaalejandra.ramirez.jimene,,,,,,,,,,,,,,"26/04/2022

- Se avanza en un 80% en la etapa de productivización{}{}",26/04/2022,28/04/2022,,,,⬤,In Progress,1. A Tiempo
722,PLANEADO,E2E-50578,33018,CRS-1445,,https://globaldevtools.bbva.com/jira/browse/CRS-1445,GRM_Col_Pendientes Circulares_Cancelaciones_Titularizadora,Global Risk Management,6.Normativos,,Tier 2,8.Normativos,1.Normativo,,,,,,,,,1.Systems_Engineering,1.Mantenimiento,,1.EMC,2022-Q4,,,,,,Unknown,2022-Q4,Customer Delivery,carlos.barreto,maritza.guerrero,,katherine.pardo,,,,,,,,,,,,,,Sin Comentario,,31/03/2022,,,,⬤,New,Estado New
